a,b,c,d,alpha,IS_HEALTHY,BRAF v600,KRAS c122,KRAS c146,KRAS c61,NRAS c61,NRAS ex2
-1821.9620269039754,4120.870599808872,3.9428837311188083,-82.89461862560556,0.2992471203736226,0.0,0,0,0,0,1,0
-1852.009360372799,4243.198383779645,3.852727473292378,-82.98321560540323,0.2871621725176008,0.0,0,0,0,0,1,0
-1849.0936289556926,4158.814898440007,4.04870742513133,-82.97071510177672,0.27245093465821346,0.0,0,0,0,0,1,0
-1767.843809757447,4178.0210890685585,3.857819910642868,-82.78206100964405,0.3156445476431117,0.0,0,0,0,0,1,0
-1458.7491374826382,3780.1654832298686,4.160935525234887,-83.32210341203513,0.22839051383795414,0.0,0,0,0,0,1,0
-1299.539624083027,3534.6076887953386,4.036247997478598,-83.30150778711548,0.2747953331362408,0.0,0,0,0,0,1,0
-1587.2404857965823,3870.0999884815164,3.99772808122739,-83.34498710953382,0.22552107197219504,0.0,0,0,0,0,1,0
-1453.8836400642,3829.9522923307027,4.052399684933344,-83.36298179090005,0.17621158702566075,1.0,0,0,0,0,1,0
-1719.6165396102015,4016.857765114883,3.983934740539674,-83.3685871323138,0.20647660419458502,0.0,0,0,0,0,1,0
-1526.5151118608264,3793.1806165671205,4.058004575707097,-83.30871929637517,0.22111462405680368,0.0,0,0,0,0,1,0
-1777.3695315594289,4079.1610927509614,3.8898744968171406,-83.32940432786235,0.21630002157456635,0.0,0,0,0,0,1,0
-1474.7976671592967,4024.7354538700847,3.231335238189339,-83.22704653988222,0.26322497520749283,0.0,0,0,0,0,1,0
-1804.2209444207178,4188.250222958937,4.025563326625122,-83.4520602373939,0.1951961764604894,0.0,0,0,0,0,1,0
-1811.6711689107317,4182.456188923132,3.80546959451111,-83.33258201339942,0.2496733109823339,0.0,0,0,0,0,1,0
-1853.8665418000526,4191.055996707893,3.921056634567411,-83.3064382512111,0.2665825381512775,0.0,0,0,0,0,1,0
-1741.1869488700245,4088.0015749996187,3.952620357281621,-83.3288960333646,0.23329306793768728,0.0,0,0,0,0,1,0
-1670.0508163493175,4068.5660372630246,3.795429449740319,-83.26591248627705,0.26222632611893953,0.0,0,0,0,0,1,0
-1585.2807812908604,3945.4900767636827,3.739587768369987,-83.26545495725277,0.24409378166795068,0.0,0,0,0,0,1,0
-1695.478519040494,3935.181149075969,4.156446333881731,-83.32955224170827,0.2222110713266016,0.0,0,0,0,0,1,0
-1506.7586799597234,3896.3893215989333,3.92012166140344,-83.31267927170329,0.22438002235634802,0.0,0,0,0,0,1,0
-1817.8926369059789,4075.3047045775293,3.9359225957154504,-83.33626526226908,0.23227971201607964,0.0,0,0,0,0,1,0
-1680.1243621494195,4075.9315060908384,3.3407173084552446,-83.23656851507221,0.2714931343668903,0.0,0,0,0,0,1,0
-1823.3192607950662,4127.950691768595,3.6588492835105355,-83.24972289154213,0.2830931942842195,0.0,0,0,0,0,1,0
-1594.4715916280013,3797.2355690743116,4.091082158759722,-83.29972752072814,0.2755854098680818,0.0,0,0,0,0,1,0
-1773.2790329526197,4041.115648656989,4.113231219081243,-83.18735326596303,0.25616077660397474,0.0,0,0,0,0,1,0
-1807.611386225968,4044.5832148868662,4.022519202688338,-83.22494256244542,0.25644075564441604,0.0,0,0,0,0,1,0
-1728.4927186470213,4020.746627351422,4.142576197053769,-82.94354229874611,0.26714519040998314,0.0,0,0,0,0,1,0
-1878.0158295412136,4111.218518916884,3.8932410142557106,-83.38349492712611,0.2723245322516052,0.0,0,0,0,0,1,0
-1756.4949942453586,4104.898126164273,3.8418883702075064,-83.17578194377343,0.2546662996508619,0.0,0,0,0,0,1,0
-1825.472554307875,4117.4861706824595,3.8218591207136026,-83.21630873336615,0.31238334472002516,0.0,0,0,0,0,1,0
-1808.5384965979954,4072.5571178118084,4.082345616740977,-83.21504297070841,0.26912998210658656,0.0,0,0,0,0,1,0
-3487.8865276974666,5919.956586086774,3.3618999027438283,-81.21602275993247,0.22253142413895421,0.0,1,0,0,0,0,0
-3021.842439233078,5653.423026460224,2.8932793315522916,-81.12971141489544,0.27145975492612584,0.0,1,0,0,0,0,0
-3354.7665113803805,5749.542758825011,3.4109342427041858,-81.21339082630588,0.2184081334188057,0.0,1,0,0,0,0,0
-2735.5898592031285,5718.1739680177325,2.415577835264391,-80.98074685205776,0.33565297534048133,0.0,1,0,0,0,0,0
-3128.0600643355206,6137.475615396404,2.4478704362281882,-81.06058688999634,0.30935725695559696,0.0,1,0,0,0,0,0
-2473.600801715428,5242.181301379752,2.5906737152009756,-81.02018125811006,0.3055203783667266,0.0,1,0,0,0,0,0
-3861.064713770735,6121.800634650579,3.379925335625892,-81.12088173870181,0.2307058358022608,0.0,1,0,0,0,0,0
-2397.812999599334,4730.220821455126,3.6084365502004476,-81.32870154298558,0.22397506773739323,0.0,1,0,0,0,0,0
-2237.475462966134,4860.422021429307,2.9655187558285445,-81.2113700793845,0.26683451614224235,0.0,1,0,0,0,0,0
